No,Part code,Title,Note,QNT,Model
1,321819143A,Seal shorten to:,680MM 90MM,2,
2,171819469A,non-return flap,,2,
3,171819489,clip strip,,2,
4,533819701A,Air vent,left upper,1,
4,533819701A GZ7,Satin black,,1,
6,533819703A,Air vent,center,1,
6,533819703A GZ7,Satin black,,1,
6,533819703A GZ8,saddle brown,,1,
7,N 0154292,Speed nut,"4,2X16,5X11,25",1,
8,N 0116644,Washer,"B4,3X12X1",1,
9,N 0139649,oval head panel screw,"4,2X16",1,
10,533819723,air hose,left lhd,1,
11,534819723,air hose,left rhd,1,
12,533819724,air hose,right lhd,1,
13,534819724,air hose,right rhd,1,
14,533819751,Air vent,left lower,1,
14,533819751 01C,Satin black,,1,
15,533819752,Air vent,right lower,1,
15,533819752 01C,Satin black,,1,
