No,Part code,Title,Note,QNT,Model
1,533805023B,Bodywork front part without cross panel,,1,
2,533803147AC,Cross panel F 53-D-000 001>>,,1,
3,533805563A,lock carrier,,1,
4,533805569,Support,,1,
5,321805577,bearing for bonnet stay,,1,
7,533805589,Support,left,1,
8,533805590,Support,right,1,
9,533805591J,Front cross panel,,1,
10,533805595G,Front cross panel,lower,1,
11,533803153E,rip plate on front cross panel,,1,
12,533803181,Bracket,,1,
13,533819411,Water deflector,,1,
14,191819145A,Clip,,2,
15,533819519,Seal,,1,
16,N 90437601,Pop rivet,"3,2X8",4,
17,533805993,Intermediate piece,,2,
18,N 0139644,oval head panel screw,"B4,2X16",2,
19,N 0154301,Speed nut,"4,2X24,8X11,3",2,
20,431971908,Grommet,"23,5",1,
22,171809163,Retainer for vacuum container,K-JETRONIC,1,
23,N 0154301,Speed nut,"4,2X24,8X11,3",2,
24,N 01396612,oval head panel screw,"ST4,2X13-C",2,
25,171805339,Retainer for reservoir,,X,
30,533805903A,Spoiler,center,1,SCIR. GTX
31,533805911A,Spoiler,left,1,SCIR. GTX
32,533805912A,Spoiler,right,1,GTX
33,533805703,beading,1500MM,X,GTX
34,533821703,Protective film,38X5500MM,X,GTX
35,N 0154581,Speed nut,"4,8X19,5X16,5",2,GTX
36,N 0139694,oval head panel screw,"ST4,8X16,0",2,GTX
37,N 01152318,Washer,5,2,
38,N 0139694,oval head panel screw,"ST4,8X16,0",2,GTX
39,N 0116644,Washer,"B4,3X12X1",2,GTX
40,811807577C,insert nut,,2,GTX
41,N 0346052,fillister hd. bolt,M4X18,X,GTX
42,443877437A,Threaded rivet,M4,X,GTX
43,533805923,retainer for spoiler,,1,GTX
44,N 0116644,Washer,"B4,3X12X1",1,GTX
45,N 0140986,oval hd. csk. self-tapp. screw,"4,8X16",1,GTX
46,N 0154581,Speed nut,"4,8X19,5X16,5",1,GTX
