No,Part code,Title,Note,QNT,Model
1,533821021E,Wing without hole for aerial,left,1,
1,533821022,Wing,right,1,
1,AKL38103550,intermediate (zinc) (bag contains 50 pieces),,X,
2,311821143,hex. hd. self-tap bolt (combi),"6,5X21,5",26,
3,N 0154352,Speed nut,"6,3X17,1X16,3",4,
4,N 0120622,speed nut,"6,3",10,
9,443821169,Cover,,1,
9,443821169 01C,Satin black,,1,
10,533809961E,Wheel housing liner,left front,1,
10,533809962E,Wheel housing liner,right front,1,
11,533809966A,expanding nut,,4,
12,N 01166615,Washer,"6,4X18X1,6",4,
13,N 0139694,oval head panel screw,"ST4,8X16,0",4,
14,811807577C,insert nut,,22,
15,N 0115402,Washer,"5,5",22,
16,N 0139694,oval head panel screw,"ST4,8X16,0",22,
17,533821702,Protective film,19X10000MM,X,
0,533821511,Widened sill panels,left,1,GTX
0,533821512,Widened sill panels,right,1,GTX
0,443877437A,Threaded rivet,M4,X,GTX
0,N 0346052,fillister hd. bolt,M4X18,X,GTX
0,533821703,Protective film,38X5500MM,X,GTX
0,533805703,beading,1500MM,X,GTX
