No,Part code,Title,Note,QNT,Model
1,251819015,Fan motor,,1,
2,N 0139649,oval head panel screw,"4,2X16",1,
3,N 0116653,Washer,"5,3X15X1,6",1,
4,321819063,Grommet,13/9,1,
5,171819015E,Housing half,left,1,
5,171819015E 01C,Satin black,,1,
6,171819016D,Housing half,right,1,
6,171819016D 01C,Satin black,,1,
7,321819017,Seal,,1,
8,321819018,Seal,8X6X68,1,
9,171819027D,Control valve,,1,
10,171819031E,heat exchanger,,1,
11,321819045C,fresh air and heater controls,,1,
12,N 01152318,Washer,5,2,
13,N 01396626,oval head panel screw,"4,2X13",2,
14,N 0154421,Speed nut,"4,2X12,8X11,5",2,
15,171819050A,Seal,,1,
15,321819054,detent spring,,3,
16,321819059,Clip,,5,
16,321819060A,Clip,,1,
17,N 0154231,Speed nut,"5,5X26,6X20,4",4,
18,803955637,Sealing plate,,4,
19,N 01166615,Washer,"6,4X18X1,6",4,
20,N 0138882,hexagon head panel screw,"5,5X19",4,
21,321819064,Mounting,rear,2,
22,701819069,Seal,814X15X6,3,
23,861819065,Seal,578X15X15,1,
24,N 0200311,Bungs,"7X2X12,5",2,
25,171819123,lever,,1,
28,321819129C,knob,,3,
28,321819129C 01C,Satin black,,1,
29,171819173,cap for heat exchanger,,1,
29,171819173 01C,Satin black,,1,
30,171820371B,Coolant hose,,2,
31,N 90561801,Clamp,"16-28X9X0,5",3,
32,321820061D,Seal,1220X12X10,1,
33,171819809E,Heater valve,,1,
34,171819837E,Heater valve cable,,1,
35,533819831,Cable locking flap,,1,
36,823819679,Clip,,4,
37,311259197,Clamping washer,,2,
38,861819699A,Double grommet,,1,
39,533819839,Cable Control valve,,1,
40,171959511,switch for blower motor,,1,
41,321959513B,knob for switch,21MM,1,
42,171959999,Flat contact housing,,1,
43,N 0209022,Cable ties,"3,6X246",X,
44,171611751,Grommet,15/4,1,
45,321971280,bracket for resistance,,1,
46,321919383B,trim for fresh air and heater controls,,1,
46,321919383B GX5,black/chrome,,1,
47,533819873,Air distribution housing,lhd,1,
47,534819873,Air distribution housing,rhd,1,
48,N 0115227,Washer,"A4,3X9X0,8",3,
49,N 0139612,oval head panel screw,"3,9X13",3,
50,321820061D,Seal,695MM,1,
51,321820061D,Seal,540MM,1,
